id,date,time,latitude,longitude,districts,subdistrict,type
77,12/24/2021,1,-6.165624675,106.8106426,Jakarta_Pusat,Gambir,Theft
78,2/15/2021,5,-6.178636709,106.8127863,Jakarta_Pusat,Gambir,Homicide
79,7/2/2021,15,-6.179975626,106.8128857,Jakarta_Pusat,Gambir,Theft
80,7/1/2021,16,-6.178597939,106.8130615,Jakarta_Pusat,Gambir,Sexual Assault
81,3/18/2021,1,-6.177871519,106.812688,Jakarta_Pusat,Gambir,Theft
82,8/18/2021,3,-6.178084783,106.8127976,Jakarta_Pusat,Gambir,Murder: First-degree
83,1/25/2021,6,-6.179310855,106.8129047,Jakarta_Pusat,Gambir,Assault / Battery
84,3/17/2021,10,-6.178923447,106.8130379,Jakarta_Pusat,Gambir,Aggravated Assault
85,9/20/2021,23,-6.178952314,106.8126662,Jakarta_Pusat,Gambir,Assault / Battery
86,8/13/2021,0,-6.178597854,106.8130102,Jakarta_Pusat,Gambir,Attempt
87,4/14/2021,10,-6.178417548,106.8129815,Jakarta_Pusat,Gambir,Burglary
88,5/29/2021,18,-6.164900078,106.8179514,Jakarta_Pusat,Gambir,White Collar Crimes
89,2/3/2021,23,-6.164872721,106.8176579,Jakarta_Pusat,Gambir,Attempt
90,1/15/2021,0,-6.164929121,106.8180771,Jakarta_Pusat,Gambir,Harassment
91,6/22/2021,10,-6.164848303,106.818073,Jakarta_Pusat,Gambir,Disturbing the Peace
92,11/2/2021,5,-6.164868785,106.8179752,Jakarta_Pusat,Gambir,Manslaughter: Involuntary
93,3/14/2021,19,-6.164826871,106.8180272,Jakarta_Pusat,Gambir,Assault / Battery
94,4/30/2021,21,-6.164841191,106.8178559,Jakarta_Pusat,Gambir,Public Intoxication
95,6/16/2021,13,-6.164881097,106.8174426,Jakarta_Pusat,Gambir,Assault / Battery
96,7/24/2021,0,-6.164918555,106.8174722,Jakarta_Pusat,Gambir,Murder: Second-degree
97,2/10/2021,15,-6.164870124,106.8177666,Jakarta_Pusat,Gambir,Harassment
98,4/23/2021,21,-6.180040208,106.8516443,Jakarta_Pusat,Johar_Baru,Forgery
99,11/21/2021,7,-6.178179367,106.8516652,Jakarta_Pusat,Johar_Baru,Sexual Assault
100,6/15/2021,18,-6.179542485,106.8516554,Jakarta_Pusat,Johar_Baru,Statutory Rape
101,10/10/2021,21,-6.178766678,106.8516767,Jakarta_Pusat,Johar_Baru,Manslaughter: Involuntary
102,12/27/2021,20,-6.179669726,106.8516645,Jakarta_Pusat,Johar_Baru,Sexual Assault
103,10/23/2021,17,-6.179132363,106.8516566,Jakarta_Pusat,Johar_Baru,Homicide
104,5/26/2021,9,-6.178327118,106.8516456,Jakarta_Pusat,Johar_Baru,White Collar Crimes
105,3/28/2021,17,-6.17987952,106.8516626,Jakarta_Pusat,Johar_Baru,Stalking
106,3/18/2021,6,-6.179073023,106.8516757,Jakarta_Pusat,Johar_Baru,Aggravated Assault
107,1/21/2021,3,-6.179003965,106.8516513,Jakarta_Pusat,Johar_Baru,Theft
108,4/18/2021,7,-6.17851296,106.8516444,Jakarta_Pusat,Johar_Baru,Aiding and Abetting / Accessory
109,4/23/2021,3,-6.174334541,106.8558948,Jakarta_Pusat,Johar_Baru,Medical Marijuana
110,5/19/2021,0,-6.174328366,106.8567386,Jakarta_Pusat,Johar_Baru,Arson
111,9/13/2021,7,-6.174324494,106.8557528,Jakarta_Pusat,Johar_Baru,Kidnapping
112,8/27/2021,22,-6.17443423,106.8563703,Jakarta_Pusat,Johar_Baru,Robbery
113,8/1/2021,21,-6.174367149,106.8558523,Jakarta_Pusat,Johar_Baru,Medical Marijuana
114,6/28/2021,14,-6.174456389,106.8569772,Jakarta_Pusat,Johar_Baru,Arson
115,7/24/2021,14,-6.174413815,106.8563879,Jakarta_Pusat,Johar_Baru,Assault / Battery
116,3/23/2021,9,-6.17433455,106.8562527,Jakarta_Pusat,Johar_Baru,Homicide
117,1/13/2021,6,-6.174286541,106.8565485,Jakarta_Pusat,Johar_Baru,Aggravated Assault
118,8/2/2021,4,-6.174440825,106.8556436,Jakarta_Pusat,Johar_Baru,Stalking
119,10/2/2021,17,-6.17754793,106.8517737,Jakarta_Pusat,Johar_Baru,Theft
120,9/12/2021,4,-6.17800069,106.851678,Jakarta_Pusat,Johar_Baru,Murder: Second-degree
121,6/10/2021,7,-6.177975665,106.8518207,Jakarta_Pusat,Johar_Baru,Drug Possession
122,2/27/2021,20,-6.177439651,106.8516426,Jakarta_Pusat,Johar_Baru,Aggravated Assault
123,3/9/2021,17,-6.177000363,106.8518187,Jakarta_Pusat,Johar_Baru,Homicide
124,1/12/2021,10,-6.176937661,106.8517925,Jakarta_Pusat,Johar_Baru,Robbery
125,8/11/2021,15,-6.176897757,106.8516408,Jakarta_Pusat,Johar_Baru,Theft
126,7/13/2021,8,-6.177166519,106.8518101,Jakarta_Pusat,Johar_Baru,Statutory Rape
127,11/14/2021,21,-6.177224959,106.8518278,Jakarta_Pusat,Johar_Baru,Aiding and Abetting / Accessory
128,9/12/2021,11,-6.176590534,106.8517182,Jakarta_Pusat,Johar_Baru,Sexual Assault
129,6/6/2021,22,-6.177676404,106.8516211,Jakarta_Pusat,Johar_Baru,Rape
130,12/15/2021,15,-6.185655208,106.8564778,Jakarta_Pusat,Johar_Baru,Criminal Contempt of Court
131,5/1/2021,23,-6.18557943,106.8559876,Jakarta_Pusat,Johar_Baru,Pyramid Schemes
132,4/20/2021,17,-6.185617584,106.8560878,Jakarta_Pusat,Johar_Baru,Sexual Assault
133,2/3/2021,8,-6.185659402,106.8567148,Jakarta_Pusat,Johar_Baru,Homicide
134,5/21/2021,6,-6.185608053,106.8562758,Jakarta_Pusat,Johar_Baru,Tax Evasion / Fraud
135,10/16/2021,4,-6.185640489,106.8561018,Jakarta_Pusat,Johar_Baru,Kidnapping
136,4/10/2021,20,-6.185648138,106.8561849,Jakarta_Pusat,Johar_Baru,White Collar Crimes
137,10/21/2021,2,-6.185657657,106.8561317,Jakarta_Pusat,Johar_Baru,Burglary
138,8/16/2021,3,-6.185572022,106.8560777,Jakarta_Pusat,Johar_Baru,Harassment
139,8/19/2021,15,-6.185598081,106.8560147,Jakarta_Pusat,Johar_Baru,Drug Possession
140,3/24/2021,5,-6.185650317,106.8559645,Jakarta_Pusat,Johar_Baru,Stalking
141,10/12/2021,15,-6.154883923,106.8507537,Jakarta_Pusat,Kemayoran,Robbery
142,9/11/2021,16,-6.15488442,106.8507332,Jakarta_Pusat,Kemayoran,Insurance Fraud
143,12/8/2021,1,-6.154646833,106.8507412,Jakarta_Pusat,Kemayoran,Sexual Assault
144,6/7/2021,21,-6.154910637,106.8507499,Jakarta_Pusat,Kemayoran,Murder: Second-degree
145,6/29/2021,15,-6.154899776,106.8507384,Jakarta_Pusat,Kemayoran,Medical Marijuana
146,11/8/2021,4,-6.154680931,106.8507437,Jakarta_Pusat,Kemayoran,Sexual Assault
147,1/9/2021,22,-6.154907749,106.8507363,Jakarta_Pusat,Kemayoran,Kidnapping
148,7/23/2021,22,-6.154894486,106.8507504,Jakarta_Pusat,Kemayoran,Statutory Rape
149,4/17/2021,0,-6.154673682,106.8507374,Jakarta_Pusat,Kemayoran,Attempt
150,10/7/2021,20,-6.154619031,106.850734,Jakarta_Pusat,Kemayoran,Assault / Battery
151,10/12/2021,9,-6.166987095,106.8737672,Jakarta_Pusat,Kemayoran,Pyramid Schemes
152,1/28/2021,18,-6.167007848,106.8736634,Jakarta_Pusat,Kemayoran,Sexual Assault
153,12/23/2021,11,-6.166972825,106.8736538,Jakarta_Pusat,Kemayoran,Manslaughter: Involuntary
154,2/4/2021,22,-6.166993683,106.8737028,Jakarta_Pusat,Kemayoran,Rape
155,4/12/2021,19,-6.167051175,106.8735883,Jakarta_Pusat,Kemayoran,Statutory Rape
156,11/9/2021,8,-6.166963602,106.8737685,Jakarta_Pusat,Kemayoran,Arson
157,7/27/2021,5,-6.167048417,106.8737003,Jakarta_Pusat,Kemayoran,Stalking
158,2/3/2021,3,-6.166965093,106.8737017,Jakarta_Pusat,Kemayoran,Statutory Rape
159,8/23/2021,1,-6.166972718,106.8736661,Jakarta_Pusat,Kemayoran,Assault / Battery
160,7/12/2021,1,-6.167023725,106.873503,Jakarta_Pusat,Kemayoran,Assault / Battery
161,10/29/2021,18,-6.166949263,106.8736068,Jakarta_Pusat,Kemayoran,Assault / Battery
162,7/12/2021,18,-6.168319905,106.8398777,Jakarta_Pusat,Kemayoran,Homicide
163,1/15/2021,23,-6.169681488,106.839687,Jakarta_Pusat,Kemayoran,Murder: First-degree
164,10/29/2021,7,-6.16950856,106.8400491,Jakarta_Pusat,Kemayoran,Aggravated Assault
165,5/13/2021,13,-6.168260843,106.840118,Jakarta_Pusat,Kemayoran,MIP: A Minor in Possession
166,6/12/2021,2,-6.168992963,106.8398059,Jakarta_Pusat,Kemayoran,Domestic Violence
167,11/24/2021,18,-6.169710396,106.8398724,Jakarta_Pusat,Kemayoran,Indecent Exposure
168,8/13/2021,5,-6.168041681,106.8400591,Jakarta_Pusat,Kemayoran,Murder: First-degree
169,7/26/2021,3,-6.168810951,106.8399624,Jakarta_Pusat,Kemayoran,Kidnapping
170,7/25/2021,11,-6.168570842,106.8397123,Jakarta_Pusat,Kemayoran,Manslaughter: Voluntary
171,4/22/2021,3,-6.169655737,106.8397739,Jakarta_Pusat,Kemayoran,Harassment
172,3/20/2021,2,-6.168264921,106.8398293,Jakarta_Pusat,Kemayoran,Harassment
173,11/16/2021,3,-6.160034224,106.866945,Jakarta_Pusat,Kemayoran,Arson
174,2/22/2021,13,-6.160359117,106.8666987,Jakarta_Pusat,Kemayoran,White Collar Crimes
175,10/22/2021,2,-6.16055874,106.866951,Jakarta_Pusat,Kemayoran,Racketeering / RICO
176,1/20/2021,2,-6.160420809,106.8668387,Jakarta_Pusat,Kemayoran,Theft
177,11/16/2021,4,-6.160030112,106.8665571,Jakarta_Pusat,Kemayoran,Attempt
178,4/12/2021,19,-6.160625242,106.8665205,Jakarta_Pusat,Kemayoran,Arson
179,7/23/2021,12,-6.160999432,106.8669794,Jakarta_Pusat,Kemayoran,Aggravated Assault
180,4/30/2021,8,-6.159833534,106.8669565,Jakarta_Pusat,Kemayoran,MIP: A Minor in Possession
181,5/12/2021,0,-6.160897628,106.8666613,Jakarta_Pusat,Kemayoran,Harassment
182,5/20/2021,0,-6.161008296,106.8668738,Jakarta_Pusat,Kemayoran,Sexual Assault
183,4/15/2021,11,-6.155264371,106.8600189,Jakarta_Pusat,Kemayoran,Robbery
184,11/7/2021,12,-6.155115521,106.8605748,Jakarta_Pusat,Kemayoran,Statutory Rape
185,5/10/2021,19,-6.155210022,106.8606508,Jakarta_Pusat,Kemayoran,Murder: Second-degree
186,11/12/2021,0,-6.155183239,106.8604431,Jakarta_Pusat,Kemayoran,MIP: A Minor in Possession
187,3/27/2021,7,-6.155321618,106.8609152,Jakarta_Pusat,Kemayoran,Robbery
188,12/24/2021,22,-6.155114191,106.8601711,Jakarta_Pusat,Kemayoran,Public Intoxication
189,12/19/2021,0,-6.155281231,106.8607778,Jakarta_Pusat,Kemayoran,Aiding and Abetting / Accessory
190,3/4/2021,8,-6.155192489,106.8610193,Jakarta_Pusat,Kemayoran,Statutory Rape
191,9/14/2021,18,-6.155147685,106.8610053,Jakarta_Pusat,Kemayoran,Harassment
192,6/3/2021,21,-6.155179267,106.8602935,Jakarta_Pusat,Kemayoran,Manslaughter: Voluntary
193,8/31/2021,13,-6.155268294,106.860074,Jakarta_Pusat,Kemayoran,Sexual Assault
194,5/9/2021,13,-6.16762571,106.863485,Jakarta_Pusat,Kemayoran,Rape
195,9/19/2021,8,-6.167940992,106.8637224,Jakarta_Pusat,Kemayoran,Stalking
196,8/28/2021,15,-6.16757652,106.8636428,Jakarta_Pusat,Kemayoran,Rape
197,2/22/2021,22,-6.16766836,106.8633827,Jakarta_Pusat,Kemayoran,Harassment
198,2/15/2021,1,-6.167675034,106.8636749,Jakarta_Pusat,Kemayoran,Aggravated Assault
199,11/3/2021,4,-6.167645416,106.8634644,Jakarta_Pusat,Kemayoran,Cyberbullying
200,9/3/2021,0,-6.168166306,106.8634617,Jakarta_Pusat,Kemayoran,Drug Possession
201,8/10/2021,5,-6.167807905,106.8638316,Jakarta_Pusat,Kemayoran,Statutory Rape
202,6/2/2021,7,-6.16763232,106.8637977,Jakarta_Pusat,Kemayoran,Murder: Second-degree
203,1/14/2021,6,-6.167615902,106.8634919,Jakarta_Pusat,Kemayoran,Child Pornography
204,5/26/2021,0,-6.167968389,106.8634807,Jakarta_Pusat,Kemayoran,Manslaughter: Voluntary
205,12/29/2021,2,-6.200073701,106.832318,Jakarta_Pusat,Menteng,Kidnapping
206,4/26/2021,7,-6.200072316,106.8323331,Jakarta_Pusat,Menteng,Murder: First-degree
207,5/25/2021,0,-6.200041659,106.832708,Jakarta_Pusat,Menteng,Rape
208,2/9/2021,2,-6.200075609,106.8322544,Jakarta_Pusat,Menteng,Assault / Battery
209,1/25/2021,19,-6.200039508,106.8327755,Jakarta_Pusat,Menteng,Assault / Battery
210,5/24/2021,21,-6.200088911,106.8322924,Jakarta_Pusat,Menteng,Arson
211,7/13/2021,23,-6.200035319,106.832124,Jakarta_Pusat,Menteng,Harassment
212,11/1/2021,22,-6.200104928,106.8324698,Jakarta_Pusat,Menteng,Manslaughter: Voluntary
213,12/22/2021,17,-6.200002801,106.8325472,Jakarta_Pusat,Menteng,Theft
214,4/14/2021,19,-6.200108374,106.832042,Jakarta_Pusat,Menteng,Vandalism
215,12/7/2021,17,-6.200069471,106.8325542,Jakarta_Pusat,Menteng,Attempt
216,6/29/2021,10,-6.195543938,106.8295926,Jakarta_Pusat,Menteng,Manslaughter: Voluntary
217,8/6/2021,17,-6.195541734,106.8294496,Jakarta_Pusat,Menteng,Manslaughter: Voluntary
218,11/19/2021,13,-6.195527887,106.8295769,Jakarta_Pusat,Menteng,Disturbing the Peace
219,4/23/2021,19,-6.195441204,106.8296622,Jakarta_Pusat,Menteng,Assault / Battery
220,2/21/2021,2,-6.195467949,106.8292803,Jakarta_Pusat,Menteng,Public Intoxication
221,7/8/2021,22,-6.195427945,106.8293786,Jakarta_Pusat,Menteng,Statutory Rape
222,11/14/2021,20,-6.195498446,106.8296245,Jakarta_Pusat,Menteng,Rape
223,10/13/2021,1,-6.195497829,106.8293465,Jakarta_Pusat,Menteng,Theft
224,5/15/2021,13,-6.197663939,106.834211,Jakarta_Pusat,Menteng,Rape
225,5/31/2021,22,-6.197613263,106.8341694,Jakarta_Pusat,Menteng,Stalking
226,8/6/2021,17,-6.197572269,106.8342592,Jakarta_Pusat,Menteng,Kidnapping
227,3/18/2021,10,-6.19759066,106.8342429,Jakarta_Pusat,Menteng,Murder: Second-degree
228,5/15/2021,2,-6.197849276,106.8342439,Jakarta_Pusat,Menteng,Rape
229,1/27/2021,7,-6.197831436,106.8341949,Jakarta_Pusat,Menteng,Harassment
230,8/7/2021,18,-6.19738468,106.8342654,Jakarta_Pusat,Menteng,Arson
231,7/31/2021,2,-6.197474117,106.8342236,Jakarta_Pusat,Menteng,MIP: A Minor in Possession
232,11/12/2021,22,-6.197395824,106.8342876,Jakarta_Pusat,Menteng,Arson
233,8/25/2021,6,-6.197443481,106.8342108,Jakarta_Pusat,Menteng,Indecent Exposure
234,3/14/2021,11,-6.195916902,106.8433208,Jakarta_Pusat,Menteng,Murder: First-degree
235,8/17/2021,22,-6.195873738,106.8433098,Jakarta_Pusat,Menteng,Kidnapping
236,1/1/2021,20,-6.19599782,106.8433438,Jakarta_Pusat,Menteng,Kidnapping
237,4/14/2021,12,-6.195738344,106.8433336,Jakarta_Pusat,Menteng,Arson
238,9/23/2021,22,-6.196091635,106.8433007,Jakarta_Pusat,Menteng,Murder: Second-degree
239,3/2/2021,8,-6.195643761,106.8433224,Jakarta_Pusat,Menteng,Robbery
240,9/3/2021,23,-6.196187196,106.8432926,Jakarta_Pusat,Menteng,Credit / Debit Card Fraud
241,3/13/2021,23,-6.195683353,106.8433473,Jakarta_Pusat,Menteng,Assault / Battery
242,8/11/2021,18,-6.196118656,106.8433366,Jakarta_Pusat,Menteng,Indecent Exposure
243,1/9/2021,23,-6.19622048,106.8433255,Jakarta_Pusat,Menteng,Arson
244,6/8/2021,11,-6.195886947,106.8433096,Jakarta_Pusat,Menteng,Arson
245,9/9/2021,21,-6.193029267,106.8331256,Jakarta_Pusat,Menteng,Pyramid Schemes
246,2/9/2021,5,-6.192973566,106.8331312,Jakarta_Pusat,Menteng,Theft
247,11/2/2021,9,-6.192192685,106.8331241,Jakarta_Pusat,Menteng,Rape
248,4/21/2021,22,-6.192963544,106.833137,Jakarta_Pusat,Menteng,Assault / Battery
249,7/27/2021,6,-6.192929769,106.8331318,Jakarta_Pusat,Menteng,Murder: Second-degree
250,8/26/2021,6,-6.193271224,106.8331205,Jakarta_Pusat,Menteng,Homicide
251,1/9/2021,13,-6.193021754,106.8331262,Jakarta_Pusat,Menteng,Homicide
252,5/12/2021,0,-6.191997455,106.8331333,Jakarta_Pusat,Menteng,Harassment
253,4/29/2021,17,-6.192474761,106.8331368,Jakarta_Pusat,Menteng,Murder: First-degree
254,10/6/2021,22,-6.192458621,106.8331281,Jakarta_Pusat,Menteng,Homicide
255,9/1/2021,8,-6.193052788,106.8331363,Jakarta_Pusat,Menteng,Arson
256,7/5/2021,20,-6.185981527,106.8324851,Jakarta_Pusat,Menteng,Kidnapping
257,9/24/2021,20,-6.186338917,106.8324652,Jakarta_Pusat,Menteng,Arson
258,5/30/2021,2,-6.186301996,106.8325269,Jakarta_Pusat,Menteng,Perjury
259,1/29/2021,14,-6.185618778,106.8323845,Jakarta_Pusat,Menteng,Stalking
260,5/13/2021,5,-6.186217758,106.8324113,Jakarta_Pusat,Menteng,Manslaughter: Voluntary
261,3/4/2021,21,-6.186487454,106.8325414,Jakarta_Pusat,Menteng,Stalking
262,12/22/2021,19,-6.186601904,106.8324263,Jakarta_Pusat,Menteng,Sexual Assault
263,4/28/2021,23,-6.186328194,106.8326067,Jakarta_Pusat,Menteng,Rape
264,1/15/2021,18,-6.18581623,106.8323546,Jakarta_Pusat,Menteng,Child Abandonment
265,1/14/2021,9,-6.186138693,106.8327066,Jakarta_Pusat,Menteng,Attempt
266,1/22/2021,17,-6.185784898,106.8324482,Jakarta_Pusat,Menteng,Prostitution
267,11/16/2021,13,-6.186096709,106.832351,Jakarta_Pusat,Menteng,Medical Marijuana
268,1/8/2021,17,-6.182840646,106.8349287,Jakarta_Pusat,Menteng,Theft
269,12/17/2021,18,-6.183044983,106.8347426,Jakarta_Pusat,Menteng,Robbery
270,2/1/2021,13,-6.18313767,106.8347335,Jakarta_Pusat,Menteng,Attempt
271,3/27/2021,3,-6.182880842,106.8352291,Jakarta_Pusat,Menteng,Attempt
272,3/24/2021,1,-6.182971596,106.8351763,Jakarta_Pusat,Menteng,Theft
273,8/15/2021,0,-6.183234912,106.8350689,Jakarta_Pusat,Menteng,Murder: Second-degree
274,12/18/2021,0,-6.183008046,106.8348667,Jakarta_Pusat,Menteng,Murder: Second-degree
275,12/13/2021,7,-6.182918707,106.8349042,Jakarta_Pusat,Menteng,Homicide
276,12/26/2021,6,-6.138131181,106.8234171,Jakarta_Pusat,Sawah_Besar,Criminal Contempt of Court
277,2/4/2021,9,-6.138465191,106.8237208,Jakarta_Pusat,Sawah_Besar,Arson
278,9/9/2021,22,-6.138426237,106.8233298,Jakarta_Pusat,Sawah_Besar,Perjury
279,3/23/2021,15,-6.137955432,106.8233174,Jakarta_Pusat,Sawah_Besar,Racketeering / RICO
280,8/23/2021,21,-6.137622167,106.8233551,Jakarta_Pusat,Sawah_Besar,Disorderly Conduct
281,8/3/2021,19,-6.138178857,106.8232624,Jakarta_Pusat,Sawah_Besar,Stalking
282,8/22/2021,13,-6.137870344,106.8236633,Jakarta_Pusat,Sawah_Besar,Robbery
